Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2022-02-28,288.41754150390625,288.7553971784616,282.82853256098537,284.0930536775572,34627500
2022-03-01,284.7107849121094,289.5565043668673,282.00796959435814,286.1104303022666,31217800
2022-03-02,289.7689208984375,291.00448458147713,283.50423036390407,285.1065776203058,31873000
2022-03-03,285.6471252441406,292.60682123875046,283.84201770674827,292.37516228556973,27314500
2022-03-04,279.79742431640625,285.3960935577323,277.20083543278474,284.0736581596549,32356500
2022-03-07,269.2276611328125,279.63343295977313,268.86084809464484,278.5136987489001,43157200
2022-03-08,266.2738952636719,274.10234312414246,260.6269716528933,268.1561834951562,48159500
2022-03-09,278.4846496582031,279.54646877210064,271.0326502290579,273.6003111924272,35204500
2022-03-10,275.6756591796875,276.65060617183343,270.8395733141263,273.19487038356175,30628000
2022-03-11,270.34735107421875,279.4596429563479,269.7295545935928,277.9634336750457,27209300
2022-03-14,266.8433532714844,275.4922975054639,266.2448813621328,270.6079583933382,30660700
2022-03-15,277.1815490722656,277.82830290735563,269.053866830209,270.61762363193617,34245100
2022-03-16,284.1701965332031,284.34394072120614,273.3686576400486,279.07346468655453,37826300
2022-03-17,284.9714050292969,285.3478508163391,279.32448255840876,283.1084122705425,30816600
2022-03-18,290.0005187988281,290.5507382302181,282.5678431701578,285.1161798417101,43390600
2022-03-21,288.7746276855469,289.7206174710808,284.662504677972,288.5140113733799,28351200
2022-03-22,293.5045166015625,294.4118867402999,288.39815136686497,289.3923936093338,27599700
2022-03-23,289.0931091308594,292.7032939872879,287.3845657946049,290.07771839086337,25715400
2022-03-24,293.543212890625,293.6397472949178,287.96386603720487,288.7554069109761,24484500
2022-03-25,293.1376953125,294.89452080427003,288.90011015175327,294.63390450047564,22566500
2022-03-28,299.91400146484375,300.01050637906735,293.7651124963967,293.7651124963967,29578200
2022-03-29,304.4605407714844,304.8563111504665,298.3213129462688,303.01261329342486,30393400
2022-03-30,302.96435546875,304.9818271718414,300.763506705358,302.86785052906407,28163600
2022-03-31,297.6070861816406,304.2000007830976,297.2016828825993,303.0030270692517,33422100
2022-04-01,298.678466796875,299.36381082776825,294.9331566706007,298.6301848769681,27110500
2022-04-04,304.0357971191406,304.1709216917822,298.9583889350334,299.32520192359516,24289600
2022-04-05,300.08782958984375,303.9393076222428,299.1128822350108,302.394845606696,23156700
2022-04-06,289.10284423828125,296.3424814061848,286.4096909635366,294.59531799298344,40110400
2022-04-07,290.9078674316406,293.10871553655596,286.0621484743513,286.361384397438,31411200
2022-04-08,286.6606750488281,290.6666017314044,285.99462607140345,290.01021503016705,24361900
2022-04-11,275.3572082519531,282.452029428348,275.10622472559214,281.6605181173394,34569300
2022-04-12,272.26824951171875,280.6469151575573,270.75274518786716,279.1989878449197,30966700
2022-04-13,277.6352233886719,278.5618885948695,271.5346160767129,272.914995798149,21907200
2022-04-14,270.11566162109375,278.3012882088098,269.6233863517897,278.088924351685,28221600
2022-04-18,270.7817077636719,272.65436281401867,268.67739376545774,269.2276132247998,20778000
2022-04-19,275.39581298828125,276.2356357266572,268.74501431186735,269.6813419887161,22297700
2022-04-20,276.4189758300781,279.6430533893089,275.4633531849248,279.35345023812204,22906700
2022-04-21,271.06170654296875,283.1181080139608,270.3377427180526,278.5619611641617,29454600
2022-04-22,264.51708984375,273.3687676766065,263.8896603846391,271.90151538779514,29405800
2022-04-25,270.9747619628906,271.35120773294403,261.37016600391445,263.80270265842034,35678900
2022-04-26,260.8392639160156,268.69666699273034,260.6269000783663,267.8665361916543,46518400
2022-04-27,273.3879699707031,280.86892738240044,269.46891592845344,272.30685567741426,63477700
2022-04-28,279.57550048828125,280.8786411356231,271.689109042136,275.28963271284965,33646600
2022-04-29,267.8858642578125,279.81680135936267,266.9012842301464,278.59087064005706,37073900
2022-05-02,274.5946044921875,275.0482895864189,266.63100384066234,268.06926895596354,35151100
2022-05-03,271.9979553222656,274.2663805402377,270.4245363528179,274.10226915929724,25978600
2022-05-04,279.9132995605469,280.7820499971457,267.1232758393873,272.77983068105766,33599300
2022-05-05,267.72174072265625,276.40930377828715,264.8162240963305,275.6274254599327,43260400
2022-05-06,265.1927185058594,269.5557954403699,261.85281170163194,265.2699283325795,37780300
2022-05-09,255.39511108398438,262.9050277568733,254.17887192626353,260.68488387718264,47726000
2022-05-10,260.14434814453125,264.24681003549324,255.86814199638223,262.2583249814684,39336400
2022-05-11,251.5049285888672,261.939654328253,250.29832265731793,256.4568440452498,48975900
2022-05-12,246.48550415039062,250.8582435521003,241.3405338858611,248.74426727264887,51033800
2022-05-13,252.05520629882812,253.90856640021337,246.48552263469378,248.41609257198036,34925100
