Date,AAPL,BAC,COP,COST,CVX,EWA,EWC,GOOGL,GS,JNJ,JPM,KO,MCD,META,MRK,MS,MSFT,NVDA,PEP,PFE,QQQ,SLB,SPY,UNH,WMT,XOM
2022-05-06,154.05201721191406,33.45734405517578,91.71512603759766,479.2948913574219,142.78378295898438,20.321142196655273,33.71552276611328,114.65547180175781,280.3501892089844,155.38070678710938,111.30648040771484,57.130489349365234,225.69239807128906,201.99615478515625,77.71125793457031,73.4578628540039,264.6944274902344,18.61935806274414,146.8432159423828,38.25831604003906,301.2121887207031,38.814056396484375,388.239990234375,462.1229553222656,47.37287521362305,78.84738159179688
2022-05-09,148.93917846679688,32.49248123168945,82.78121185302734,474.9814758300781,133.21412658691406,19.646299362182617,32.40609359741211,111.45046997070312,276.7043762207031,156.22645568847656,109.63311004638672,57.01577377319336,222.7314910888672,194.50198364257812,77.05186462402344,70.77175903320312,254.91517639160156,16.899499893188477,147.95481872558594,37.94625473022461,289.4267272949219,34.31296157836914,375.80963134765625,449.9136047363281,47.92719268798828,72.63003540039062
2022-05-10,151.33888244628906,31.947519302368164,83.46253967285156,477.4856872558594,134.4939727783203,19.663171768188477,32.195491790771484,113.31670379638672,273.2734069824219,156.0150146484375,106.9610824584961,56.48629379272461,221.1025390625,195.92941284179688,77.20132446289062,69.9955825805664,259.65545654296875,17.54257583618164,147.7738494873047,38.609378814697266,292.9429931640625,34.17765808105469,376.677978515625,451.3842468261719,47.25251388549805,73.11162567138672
2022-05-11,143.49325561523438,31.777774810791016,84.34828186035156,465.6976013183594,136.48486328125,19.604124069213867,32.22296142578125,112.53169250488281,270.12921142578125,155.16929626464844,106.28636932373047,56.751033782958984,219.9776153564453,187.0970001220703,78.41459655761719,68.80078125,251.03237915039062,16.580453872680664,147.0586395263672,38.57817077636719,284.2546691894531,34.610633850097656,370.69403076171875,449.66387939453125,46.758392333984375,74.63372039794922
2022-05-12,139.63412475585938,31.331087112426758,84.82518768310547,462.9363098144531,137.7814483642578,19.232961654663086,31.93910026550293,111.78033447265625,268.212158203125,156.7021942138672,106.19639587402344,56.92753219604492,219.76162719726562,189.57521057128906,79.85647583007812,68.53916931152344,246.0223846435547,16.12681007385254,146.83457946777344,39.63208770751953,283.5827331542969,35.205963134765625,370.3070068359375,442.8655090332031,46.71405029296875,74.97251892089844
2022-05-13,144.0907440185547,31.42042350769043,87.64420318603516,473.49603271484375,140.4248046875,19.93310546875,32.87309646606445,114.95661163330078,275.0023193359375,155.8035888671875,107.14102172851562,57.99531173706055,220.526611328125,196.89100646972656,79.48722839355469,70.2397689819336,251.58163452148438,17.653244018554688,149.6954345703125,39.26242446899414,294.09222412109375,36.7484245300293,379.1602783203125,448.9701843261719,46.894588470458984,77.19648742675781
2022-05-16,142.55294799804688,31.098806381225586,90.25341796875,470.88714599609375,144.7244873046875,20.00902557373047,33.1844367980957,113.36624145507812,271.822265625,156.88720703125,106.39430236816406,58.20708465576172,219.6266632080078,198.29861450195312,81.16644287109375,69.68161010742188,251.94772338867188,17.21256446838379,151.20343017578125,39.852298736572266,290.68316650390625,38.01125717163086,377.62188720703125,452.5034484863281,46.94527053833008,79.01215362548828
2022-05-17,146.1770477294922,32.15299606323242,91.5537338256836,467.0211486816406,145.57769775390625,20.346446990966797,33.733848571777344,115.37512969970703,280.3592529296875,157.5391845703125,109.9209976196289,58.048255920410156,217.45773315429688,200.8561553955078,81.76431274414062,72.32412719726562,257.0733947753906,18.122844696044922,150.3331298828125,40.379268646240234,298.2123718261719,38.74190139770508,385.38958740234375,455.5650634765625,41.604888916015625,80.01990509033203
2022-05-18,137.9298095703125,31.161344528198242,89.38082122802734,408.870849609375,141.74026489257812,19.840316772460938,32.88225173950195,110.84473419189453,274.76934814453125,154.6142578125,108.04067993164062,54.006587982177734,207.93612670898438,190.5665283203125,80.97303771972656,70.37059020996094,245.368896484375,16.887537002563477,141.01806640625,39.639957427978516,283.5729064941406,37.1002197265625,369.8539733886719,436.00238037109375,38.77949142456055,78.75154113769531
2022-05-19,134.53102111816406,30.777183532714844,89.49203491210938,402.71014404296875,140.7282257080078,20.10181999206543,33.25767517089844,109.34351348876953,276.0862121582031,153.2399444580078,106.43929290771484,52.947628021240234,206.0912628173828,189.62481689453125,80.96424102783203,69.73394775390625,244.46115112304688,17.07298469543457,138.90689086914062,39.836585998535156,282.0534973144531,36.8476448059082,367.5887756347656,442.6342468261719,37.71521759033203,79.17723083496094
